News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@BBC,32,Fri Dec 01 07:38:05 +0000 2017,💎☄ The German town encrusted with diamonds. https://t.co/KSrdi3nk4R https://t.co/6ysALAE3zF,0.0,0.0,0.0,1.0
@BBC,33,Thu Nov 30 20:35:05 +0000 2017,The twin Voyager space probes have beamed revolutionary information for 40 years. #Storyville The Farthest: Voyager… https://t.co/QPMfkVcIkw,0.0,0.0,0.0,1.0
@BBC,34,Thu Nov 30 20:02:03 +0000 2017,Host @SaraPascoe introduces @LarryDeanComedy and @GaryDelaney to the stage. #LiveAtTheApollo. 10pm on @BBCTwo. 🌟 🤣… https://t.co/htdXbDaBet,0.0,0.0,0.0,1.0
@BBC,35,Thu Nov 30 19:33:02 +0000 2017,When your birthday falls on the same day as #StAndrewsDay 😂 Via @BBCTheSocial https://t.co/ULr3DAJRdk,0.0,0.0,0.0,1.0
@BBC,36,Thu Nov 30 19:00:08 +0000 2017,"🚀🌍 To mark the launch of a free-to-download BBC VR project, 3 astronauts give us their impressions of floating abov… https://t.co/HWiW3BSJzm",0.2263,0.095,0.0,0.905
@BBC,37,Thu Nov 30 18:33:03 +0000 2017,What a duo! We still can't get over @CraigDavid and @BastilleDan's performance of #IKnowYou on #SLFN. 👏 🎶 💞 Via… https://t.co/0j5ZxKPgWq,0.0,0.0,0.0,1.0
@BBC,38,Thu Nov 30 18:00:13 +0000 2017,🎞❤️️ Debbie Reynolds and Carrie Fisher - Hollywood's greatest couple. https://t.co/D2I3S0LAZt https://t.co/gJcLDusupa,0.6369,0.296,0.0,0.704
@BBC,39,Thu Nov 30 17:27:05 +0000 2017,Mel Gibson's impression of Sean Connery is incredible. 😂 Via @BBCOne. https://t.co/a020G1KXkJ,0.2263,0.16,0.0,0.84
@BBC,40,Thu Nov 30 17:00:18 +0000 2017,"Castles, colours and Christmas lights - these are your pictures of Scotland from last week. 📸😍… https://t.co/YVnZH93DWh",0.0,0.0,0.0,1.0
@BBC,41,Thu Nov 30 16:46:25 +0000 2017,"RT @bbc5live: Happy 20th birthday to the World Football Phone-In! 🎂

@dotunadebayo will be joined by an audience of fans and special guests…",0.7712,0.251,0.0,0.749
@BBC,42,Thu Nov 30 16:32:03 +0000 2017,Celebrate #StAndrewsDay with Mary Berry's classic Cranachan recipe. 🍨 https://t.co/kJ7f44shyE https://t.co/Oqs8UnJrmK,0.5719,0.291,0.0,0.709
@BBC,43,Thu Nov 30 16:25:30 +0000 2017,RT @BBCNews: Charities see increase in dogs being dumped or sent to rescue centres as Christmas approaches https://t.co/D7zgMkNz4l,0.7269,0.345,0.106,0.549
@BBC,44,Thu Nov 30 16:25:14 +0000 2017,RT @BBCTwo: The emotional moment this Blitz survivor reads an essay he wrote 75 years ago... 😢 #Blitz https://t.co/YMYL9QvJes,0.4767,0.204,0.0,0.796
@BBC,45,Thu Nov 30 16:25:02 +0000 2017,RT @bbcweather: Walking in a winter wonderland... A few chilly-looking scenes posted by our Weather Watchers earlier. Jo #SnowWatch https:/…,0.0,0.0,0.0,1.0
@BBC,46,Thu Nov 30 16:23:02 +0000 2017,RT @bbcweather: Wondering if it will #snow where you are later? Here's a snapshot of the forecast from 6pm through to early tomorrow. Jo #S…,0.0,0.0,0.0,1.0
@BBC,47,Thu Nov 30 16:22:48 +0000 2017,RT @bbcpress: Divine! First look at John Hamm in @BBCTwo's #GoodOmens: https://t.co/FurO7z8wi3 https://t.co/lQqVQgxxSF,0.5983,0.245,0.0,0.755
@BBC,48,Thu Nov 30 16:02:14 +0000 2017,"🍾✨📺 This year, Christmas treats on @BBCTwo include Nigella Lawson, The League of Gentlemen, Alan Partridge and Joan… https://t.co/UxRFn5ctrA",0.0,0.0,0.0,1.0
@BBC,49,Thu Nov 30 15:30:05 +0000 2017,Imagine having Andy Murray as your mentor! Via @BBCSport. https://t.co/OFDw1pJelR,0.0,0.0,0.0,1.0
@BBC,50,Thu Nov 30 14:59:03 +0000 2017,"From @MaryJBlige's 'No More Drama' to @MileyCyrus' 'Wrecking Ball', here are 6 emotional music videos that made the… https://t.co/FgLJhBolUZ",-0.1531,0.081,0.111,0.808
@BBC,51,Thu Nov 30 14:33:05 +0000 2017,"Did you know that Saint Andrew is also the patron saint of Romania, Greece, Russia, Ukraine and Poland?… https://t.co/zX1JOMuF2g",0.0,0.0,0.0,1.0
@BBC,52,Thu Nov 30 14:00:14 +0000 2017,"Is Die Hard a Christmas movie? 🎄🔫 🎁
People are claiming it is and it’s tearing the internet apart.… https://t.co/2TUIDf7Ycl",-0.6486,0.0,0.249,0.751
@BBC,53,Thu Nov 30 13:30:06 +0000 2017,Four women have frank and honest conversations with their grans about some of their most memorable first times. 👵… https://t.co/x0H0idp7LD,0.5106,0.148,0.0,0.852
@BBC,54,Thu Nov 30 13:00:09 +0000 2017,Could more women soldiers make the Army stronger? 💪 https://t.co/3BCXAJZlnO https://t.co/F1n1zztAtq,0.3818,0.224,0.0,0.776
@BBC,55,Thu Nov 30 12:33:01 +0000 2017,This simulator is designed to help train teachers in the US on what to do in the event of a school shooting. Via… https://t.co/IxWWf8I9Jy,0.4019,0.109,0.0,0.891
@BBC,56,Thu Nov 30 12:00:09 +0000 2017,"Ever dreamed of going to space? Now you can see those dreams come true, with the BBC's new VR spacewalk. 🚀☄… https://t.co/0HgKrUMPlQ",0.6705,0.216,0.0,0.784
@BBC,57,Thu Nov 30 11:33:03 +0000 2017,Today is #StAndrewsDay! But how much do you know about Scotland's patron saint? Take this quiz to test your knowled… https://t.co/zhoN3b4LIB,0.0,0.0,0.0,1.0
@BBC,58,Thu Nov 30 11:03:32 +0000 2017,"RT @BBC_Teach: 🚨1 hour to go till our Pablo #BBCLiveLessons with @CBeebiesHQ🚨

Have you got an art-related question for Pablo's art directo…",0.0,0.0,0.0,1.0
@BBC,59,Thu Nov 30 09:02:06 +0000 2017,What a voice! We're loving @Tom_Grennan’s #SLFN performance of ‘Found What I’ve Been Looking For'. 👏 🌟 Via @BBCMusic https://t.co/fXaCmJvUOI,0.636,0.208,0.0,0.792
@BBC,60,Thu Nov 30 08:40:06 +0000 2017,Trolltunga is one of Norway’s most famous geological sites – and one of its most controversial. Via @BBC_Travel.… https://t.co/eLNyQqs8OH,-0.2716,0.0,0.11,0.89
@BBC,61,Thu Nov 30 08:20:04 +0000 2017,All work and no rest? These seven tips will help you strike a better balance. https://t.co/kXQKTFsR9t https://t.co/YLqaWTkg99,0.4404,0.263,0.174,0.563
@BBC,62,Thu Nov 30 08:03:02 +0000 2017,"By 2050, 70% of the world's population will be living in cities. The @TWBBC podcast explains how we will cope. 🏙… https://t.co/RWDVKpxzN3",0.0,0.0,0.0,1.0
@BBC,63,Thu Nov 30 07:38:04 +0000 2017,Some myths about babies and what brings on labour have proved remarkably persistent. 👶 @BBC_Future put them under t… https://t.co/bWkliGWweo,0.0,0.0,0.0,1.0
@BBC,64,Wed Nov 29 19:48:10 +0000 2017,"RT @BBCNewsAsia: In land-scarce Singapore, 'vertical villages' are the way to go: https://t.co/OT5rsMXXA4 https://t.co/dzkRBSkBB0",0.0,0.0,0.0,1.0
@BBC,65,Wed Nov 29 19:45:53 +0000 2017,"RT @BBCNewsbeat: ""America's loss is our gain,"" says the Duchess of Cornwall about Meghan Markle 💖 https://t.co/7zaa4HmTQ8",-0.3182,0.0,0.133,0.867
@BBC,66,Wed Nov 29 19:43:46 +0000 2017,RT @BBCScotlandNews: Three beavers have been released into the wild as part of a programme to reintroduce the animals to Scotland. More: ht…,0.0,0.0,0.0,1.0
@BBC,67,Wed Nov 29 19:41:46 +0000 2017,RT @BBCEngland: Archaeologists believe they've discovered the landing site for Julius Caesar’s invasion of Britain https://t.co/jm2I3ZOG1E…,0.0,0.0,0.0,1.0
@BBC,68,Wed Nov 29 19:38:12 +0000 2017,RT @bbcweather: Your fabulous photos of Wales: https://t.co/5LTQHRwsKF Jo https://t.co/lbxqbT4vGi,0.5267,0.274,0.0,0.726
@BBC,69,Wed Nov 29 19:36:04 +0000 2017,"RT @bbcmusic: We are SO EXCITED to welcome the amazing @Palomafaith as this week's #SLFN guest host! 
Which songs do you hope she sings?
Wa…",0.9439,0.418,0.0,0.582
@BBC,70,Wed Nov 29 19:35:48 +0000 2017,RT @BBCFood: Are you Christmassing yet? 🎄 #nevertoosoon #mincepie https://t.co/IVYo26i3cP https://t.co/nR2Xh7EKOe,0.0,0.0,0.0,1.0
@BBC,71,Wed Nov 29 19:35:44 +0000 2017,"RT @bbcthesocial: Teaching the police sign language (sort of) 😂 

#ScotSquad (via @BBCScotland) https://t.co/WQlW4xo2oI",0.0,0.0,0.0,1.0
@BBC,72,Wed Nov 29 19:28:04 +0000 2017,🎼🎻 What's the perfect musical accompaniment for a gloomy winter's night? https://t.co/0a74H9sFHP https://t.co/IWbQCRhpgo,0.4767,0.242,0.105,0.654
@BBC,73,Wed Nov 29 19:05:03 +0000 2017,"Tonight, Mary visits Scone Palace, the epicentre of Scottish history. Mary Berry's Country House Secrets. 8pm on… https://t.co/QYEEPXBZH8",0.0,0.0,0.0,1.0
@BBC,74,Wed Nov 29 18:33:04 +0000 2017,"📻 In the Victorian era, trousers were referred to as 'inexpressibles'. 🗯👖 This is how the words we use for swearing… https://t.co/o98Z5W7MrT",0.0,0.0,0.0,1.0
@BBC,75,Wed Nov 29 18:03:05 +0000 2017,When Will Ferrell sang an entire Whitney Houston song at a graduation ceremony. 😂 🎓 Via @BBCOne https://t.co/LkS5FYTXKx,0.0,0.0,0.0,1.0
@BBC,76,Wed Nov 29 17:29:04 +0000 2017,Girl celebrating her 21st birthday receives flowers from Dad who died of cancer five years ago. 💕 💐… https://t.co/uyJgLAsfV4,-0.6486,0.139,0.3,0.562
@BBC,77,Wed Nov 29 17:05:05 +0000 2017,"When @McInTweet is in disguise and you get a big surprise, that's amore! 🍕🎤🎶 #MichaelMcIntyresBigShow Via @BBCOne https://t.co/nznsdfjzDR",0.1007,0.123,0.103,0.774
@BBC,78,Wed Nov 29 16:33:12 +0000 2017,"📺🎄🎁 Call The Midwife, Mary Berry's Christmas Party, Doctor Who, 300 Years of French &amp; Saunders and more! Coming to… https://t.co/nz2i4YfhR7",0.4574,0.13,0.0,0.87
@BBC,79,Wed Nov 29 16:09:40 +0000 2017,RT @BBCWthrWatchers: Will we have a white Christmas? https://t.co/Dt5JDMiPFg #snow https://t.co/AcJFRoykSW,0.0,0.0,0.0,1.0
@BBC,80,Wed Nov 29 14:00:11 +0000 2017,‘Gateway to hell’ — the treacherous strait of water that nearly killed literary legend George Orwell.… https://t.co/2SC4gqQgEL,-0.6705,0.0,0.231,0.769
@BBC,81,Wed Nov 29 13:39:49 +0000 2017,RT @bbccomedy: What do Princes William and Harry call the Queen in private? 🤔😂👑 @HaveIgotnews @stephbreakfast https://t.co/zmuflJywW6,0.0,0.0,0.0,1.0
@BBC,82,Wed Nov 29 13:30:02 +0000 2017,"Can this sniffer dog find @AlanDavies1? 🐶

#QI via @BBCTwo.
Watch on @BBCiPlayer. 👉 https://t.co/8GlsOYI8Ej https://t.co/IjRHLZIdmk",0.0,0.0,0.0,1.0
@BBC,83,Wed Nov 29 13:03:03 +0000 2017,Why I want my best friend and me to get couples therapy. 👭 💬 https://t.co/2zCKRy25Wk https://t.co/PvZrlYo86Y,0.8271,0.465,0.0,0.535
@BBC,84,Wed Nov 29 12:28:04 +0000 2017,📻 Is this the end of 'manspreading'? People on social media are calling for women to claim their own space on publi… https://t.co/ceqejPdavF,0.0,0.0,0.0,1.0
@BBC,85,Wed Nov 29 12:03:01 +0000 2017,Big Shaq was NOT impressed with @scott_mills' impression of @djkhaled. 😂 Via @BBCR1 https://t.co/XXQ5VOqNCZ,0.6124,0.312,0.0,0.688
@BBC,86,Wed Nov 29 11:59:42 +0000 2017,"RT @BBCOne: Welcome to the family business.

@jginorton stars in #McMafia. Coming soon to @BBCOne. https://t.co/wykft8zQmS",0.4588,0.167,0.0,0.833
@BBC,87,Wed Nov 29 11:41:26 +0000 2017,"'Being a child of the 80s, all I wanted was to be a teenybopper.' 😂 

10 things we learned from @NaomiAKlein's… https://t.co/PsgS905mnA",0.0,0.0,0.0,1.0
@BBC,88,Wed Nov 29 11:27:33 +0000 2017,"RT @BBCTwo: Ryan has one of the most extreme cases of Tourette's in the UK, but he's determined to land his dream job. #EmployableMe https:…",0.6808,0.196,0.0,0.804
@BBC,89,Wed Nov 29 11:23:54 +0000 2017,RT @BBCTwo: Fancy an exclusive look at the next episode of #PeakyBlinders? Arthur's found himself in a precarious situation... 😱 https://t.…,0.128,0.077,0.0,0.923
@BBC,90,Wed Nov 29 09:36:43 +0000 2017,"RT @BBCRadio4: So @NaomiAKlein's #DesertIslandDiscs was amazing. Here's what we learnt, in a numbered list. https://t.co/UHlFyQr8ic /1",0.5859,0.202,0.0,0.798
@BBC,91,Wed Nov 29 09:33:03 +0000 2017,Barber Shop Chronicles writer @InuaEllams shares his top culture picks. 📚 🎬 🎭 https://t.co/zz3cAAkQ4q https://t.co/itkJbyvggg,0.4588,0.286,0.0,0.714
@BBC,92,Wed Nov 29 09:02:06 +0000 2017,What is the capital of Thailand called? The answer might surprise you... 🇹 Via @BBCWorldService https://t.co/5H2G23XZaa,0.2732,0.13,0.0,0.87
@BBC,93,Wed Nov 29 08:45:04 +0000 2017,"'My father put me through hell.' 🎾
Jelena Dokic's career success came at a heavy personal price.… https://t.co/KNkkJVYdoS",0.5719,0.198,0.0,0.802
@BBC,94,Wed Nov 29 08:42:09 +0000 2017,"RT @bbcgetinspired: This is an amazing idea. 🙌

Forget the gym! Mermaiding is the new fitness trend that will give you a great workout 🧜‍♀️…",0.8553,0.33,0.061,0.609
@BBC,95,Wed Nov 29 08:37:54 +0000 2017,RT @TWBBC: Your phone could help stop disease epidemics. Imagine one day having a biochip which tests for diseases like Zika. (via @Wellcom…,0.4588,0.197,0.083,0.72
@BBC,96,Wed Nov 29 08:37:30 +0000 2017,"RT @CBeebiesHQ: Children at school draw a surgeon, a fighter pilot, and a firefighter.

👩‍⚕️👩‍✈️👩‍🚒

Most draw them as men.👨

#RedrawTheBal…",0.1531,0.086,0.0,0.914
@BBC,97,Wed Nov 29 08:36:59 +0000 2017,"RT @bbcpress: 🎁 A special Christmas gift from @BBCiPlayer. Boxsets of drama, natural history, comedy, family favourites, #EastEnders specia…",0.8625,0.449,0.0,0.551
@BBC,98,Wed Nov 29 08:33:05 +0000 2017,Ever wondered how a smartphone is put together? 📱 Via @BBCClick https://t.co/APUJaqh7aO,0.0,0.0,0.0,1.0
@BBC,99,Wed Nov 29 08:00:06 +0000 2017,🤖😬 Artificial Intelligence could overtake humanity by 2045. https://t.co/owm2Hzn3qu https://t.co/XCfxZg85pA,0.4767,0.256,0.0,0.744
@CBS,0,Fri Dec 01 22:43:05 +0000 2017,Reminisce with these classic photos and get ready to relive the magic when The Carol Burnett 50th Anniversary Speci… https://t.co/yJQEzCjoSA,0.3612,0.116,0.0,0.884
@CBS,1,Fri Dec 01 22:15:28 +0000 2017,"RT @LivinBiblically: In the beginning, there was Chip. And lo! Chip had a revelation. #LivingBiblically is a new comedy premiering Monday,…",0.4199,0.134,0.0,0.866
@CBS,2,Fri Dec 01 21:00:12 +0000 2017,"Discover these pro football stars' off-the-field talents in MVP: Most Valuable Performer, airing Jan 25 on CBS! Fin… https://t.co/g8jSRW8mQf",0.7707,0.282,0.0,0.718
@CBS,3,Fri Dec 01 20:17:18 +0000 2017,"Find out when #BigBrother celebrity edition, #AmazingRace, #Survivor, new drama @instinctcbs and new comedy… https://t.co/4Psl74zcCB",0.0,0.0,0.0,1.0
@CBS,4,Fri Dec 01 19:32:18 +0000 2017,Actress @BethBehrs explains why Carol Burnett is her hero! Celebrate her lasting influence with The Carol Burnett 5… https://t.co/Lnt5P9jEu0,0.8221,0.309,0.0,0.691
@CBS,5,Fri Dec 01 18:40:34 +0000 2017,"RT @instinctcbs: New drama #Instinct, starring @Alancumming, premieres Sunday, March 11 on @CBS! https://t.co/aaL0JXpqav",0.0,0.0,0.0,1.0
@CBS,6,Fri Dec 01 18:16:37 +0000 2017,"RT @AmazingRaceCBS: On your marks... #AmazingRace returns Wednesday, January 3! https://t.co/XMSJSUymUZ",0.0,0.0,0.0,1.0
@CBS,7,Fri Dec 01 18:10:11 +0000 2017,RT @CBSBigBrother: Mark. Your. Calendars. The celebrity edition of #BigBrother premieres February 7! https://t.co/nP3Do6jTwM,0.0,0.0,0.0,1.0
@CBS,8,Fri Dec 01 14:00:04 +0000 2017,The Angels await you... catch up on the world's most celebrated fashion show now! Watch the full 2017… https://t.co/xfYDbEzpfX,0.6893,0.251,0.0,0.749
@CBS,9,Fri Dec 01 12:00:03 +0000 2017,"Comedy stars Amy Poehler, Bill Hader, @MayaRudolph &amp; @TraceeEllisRoss give the legendary Tarzan yell a try- but no… https://t.co/lrrHE2f9Nv",0.1901,0.093,0.0,0.907
@CBS,10,Fri Dec 01 01:31:30 +0000 2017,Action-adventure series 'Blood &amp; Treasure' has been picked up for broadcast in Summer 2019: https://t.co/gAjqbF5bYh https://t.co/3cTBH9AKFI,0.296,0.128,0.0,0.872
@CBS,11,Thu Nov 30 21:10:19 +0000 2017,Carol Burnett visited @TheTalkCBS to discuss how she got her start in show business! Watch The Carol Burnett 50th A… https://t.co/EyqmFWZHEC,0.0,0.0,0.0,1.0
@CBS,12,Thu Nov 30 20:54:39 +0000 2017,"The world's most beloved fairy tales are reimagined as a dark &amp; twisted psychological thriller in ""Tell Me A Story,… https://t.co/CytIswrRj1",0.6115,0.227,0.0,0.773
@CBS,13,Thu Nov 30 17:40:02 +0000 2017,RT @RansomCBS: #Ransom star @luke_j_roberts on set in Budapest for Season 2! https://t.co/rgC5ylqSMp,0.0,0.0,0.0,1.0
@CBS,14,Thu Nov 30 17:30:05 +0000 2017,Comic @JayLeno reflects on the major impression Carol Burnett left on him. Celebrate The Carol Burnett 50th Anniver… https://t.co/PIakndHJt1,0.6808,0.248,0.0,0.752
@CBS,15,Thu Nov 30 15:00:05 +0000 2017,"Watch #BrunoMars perform ""That's What I Like"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/hAFcB9HpE3 https://t.co/I7ZWHdDYCP",0.3612,0.135,0.0,0.865
@CBS,16,Thu Nov 30 12:00:03 +0000 2017,"Watch #BrunoMars perform ""24K Magic"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/UgD4fC5cS6 https://t.co/iTGKJSbjwY",0.0,0.0,0.0,1.0
@CBS,17,Thu Nov 30 07:52:09 +0000 2017,Missed Bruno Mars: 24K Magic Live at the Apollo Theater? Keep up! Watch the full show: https://t.co/itXpGB5gRm… https://t.co/nkRMIUd2Df,-0.3595,0.0,0.128,0.872
@CBS,18,Thu Nov 30 04:09:55 +0000 2017,RT @CWatkinsTV: That. Was. Amazing! #BrunoMars,0.6239,0.45,0.0,0.55
@CBS,19,Thu Nov 30 04:00:27 +0000 2017,The stage is 🔥🔥 #BrunoMars https://t.co/nykrDH46Bs,0.0,0.0,0.0,1.0
@CBS,20,Thu Nov 30 03:59:09 +0000 2017,RT @anitakearney65: I could watch this all night #Brunomars #BrunosTvSpecial so much fun to watch OMG,0.5542,0.204,0.0,0.796
@CBS,21,Thu Nov 30 03:55:37 +0000 2017,Everybody put your hands up! #BrunoMars https://t.co/jU7NyttAqv,0.0,0.0,0.0,1.0
@CBS,22,Thu Nov 30 03:51:38 +0000 2017,RT @Sara_nurse: My 2yr old niece heard @BrunoMars and is now up singing and dancing #BrunosTVSpecial #BrunoMars,0.0,0.0,0.0,1.0
@CBS,23,Thu Nov 30 03:44:54 +0000 2017,"RT @AllieNY86: His voice is mesmerizing 
#BrunoMars",0.0,0.0,0.0,1.0
@CBS,24,Thu Nov 30 03:37:13 +0000 2017,RT @BrunoMars: We love you MARY!!!! ❤️ #BrunosTvSpecial,0.7482,0.434,0.0,0.566
@CBS,25,Thu Nov 30 03:35:13 +0000 2017,RT @RDMichelleLNK: Loving a dose of #BrunoMars midweek. So amazing!,0.8513,0.542,0.0,0.458
@CBS,26,Thu Nov 30 03:33:32 +0000 2017,We’re only halfway into the show. Get ready for more of your favorite #BrunoMars tunes! https://t.co/BJh0PeX864,0.7232,0.302,0.0,0.698
@CBS,27,Thu Nov 30 03:23:03 +0000 2017,"When #BrunoMars tells you to pick up the phone, that’s exactly what you do. https://t.co/JZDS26h3lL",0.0,0.0,0.0,1.0
@CBS,28,Thu Nov 30 03:11:31 +0000 2017,RT @MargoSlade: Best way to relax after a hard day of work watching #BrunoMars on #BrunosTVSpecial my heart is the happiest,0.8979,0.394,0.049,0.557
